,BHK,Size,Floor,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Rent
154,2,650,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
155,2,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
156,2,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7000
157,3,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,12000
158,2,900,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,14500
159,1,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
160,2,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,9500
161,2,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,10000
162,1,120,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,3500
163,2,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,9000
164,3,1220,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,40000
165,3,1100,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,16500
166,3,700,0,Carpet Area,Kolkata,Unfurnished,Family,2,8000
167,2,800,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,12000
168,2,670,2,Super Area,Kolkata,Unfurnished,Family,1,6500
169,4,1300,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,40000
170,1,190,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
171,2,700,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,9000
172,1,240,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7000
173,2,850,2,Carpet Area,Kolkata,Semi-Furnished,Family,1,18000
174,1,950,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,9000
175,1,450,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,5500
176,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7500
177,2,600,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,4000
178,3,800,2,Carpet Area,Kolkata,Unfurnished,Bachelors,2,10500
179,3,1100,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,15000
180,2,800,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,15000
181,1,2200,2,Super Area,Kolkata,Furnished,Bachelors/Family,3,50000
182,2,950,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,12000
183,2,550,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,11000
184,2,1800,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,12000
185,2,1000,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,8000
186,2,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,18000
187,2,750,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,8000
188,2,685,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
189,1,44,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,1,6500
190,4,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,13000
191,2,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,9000
192,4,1110,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
193,2,1000,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,12000
194,2,392,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
195,2,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
196,1,750,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5200
197,3,1500,1,Super Area,Kolkata,Unfurnished,Family,2,15000
198,2,900,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,9000
199,1,710,1,Super Area,Kolkata,Furnished,Bachelors,1,24000
200,1,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5500
201,1,700,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,10000
202,2,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,15000
203,1,250,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,4700
204,1,500,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
205,2,450,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
206,3,1400,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,15000
207,1,500,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
208,2,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
209,3,1200,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,18000
210,2,450,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,8000
211,1,500,2,Carpet Area,Kolkata,Furnished,Bachelors,1,13000
212,2,400,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7500
213,3,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,12000
214,2,750,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,11000
215,1,450,0,Super Area,Kolkata,Unfurnished,Family,1,6000
216,3,1000,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,20000
217,2,500,1,Carpet Area,Kolkata,Unfurnished,Bachelors,2,7000
218,4,1600,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,30000
219,2,550,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,7500
220,1,550,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,6500
221,1,200,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,3000
222,2,650,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,5200
223,2,1000,1,Super Area,Kolkata,Furnished,Bachelors/Family,2,25000
224,2,680,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,12500
225,2,720,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,8500
226,2,500,4,Carpet Area,Kolkata,Unfurnished,Bachelors,1,3500
227,2,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
228,1,160,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,3000
229,2,1200,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,14000
230,1,700,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,18000
231,1,1000,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,3500
232,2,1250,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,16000
233,4,1600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,35000
234,2,700,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,21000
235,1,450,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,4500
236,2,839,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,15000
237,1,230,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,4500
238,1,1800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5500
239,2,800,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,8500
240,1,500,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
241,2,620,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,8500
242,2,650,2,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,9000
243,1,550,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,7500
244,2,450,1,Carpet Area,Kolkata,Furnished,Bachelors,2,7000
245,3,1350,1,Carpet Area,Kolkata,Unfurnished,Family,2,15000
246,2,600,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,7000
247,3,1200,2,Super Area,Kolkata,Furnished,Bachelors/Family,1,10000
248,2,700,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
249,3,800,1,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,3200
250,2,600,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
251,2,900,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,12000
252,2,750,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
253,3,1250,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
254,3,1000,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,12000
255,2,600,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
256,2,650,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5300
257,2,450,2,Carpet Area,Kolkata,Unfurnished,Bachelors,1,5000
258,3,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,8500
259,3,1000,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,22000
260,2,1000,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
261,3,1400,5,Carpet Area,Kolkata,Furnished,Bachelors,3,25000
262,2,600,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,7000
263,2,723,0,Carpet Area,Kolkata,Furnished,Family,1,15000
264,1,320,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,6000
265,2,900,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
266,3,1400,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,40000
267,1,2160,1,Super Area,Kolkata,Semi-Furnished,Bachelors,1,6000
268,2,650,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,15000
269,2,800,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6500
270,3,800,2,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
271,1,500,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5500
272,3,1700,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,9000
273,1,130,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6000
274,1,505,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,15000
275,4,4000,0,Super Area,Kolkata,Furnished,Bachelors/Family,3,30000
276,3,1250,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,30000
277,1,700,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
278,2,900,0,Super Area,Kolkata,Unfurnished,Bachelors,1,15000
279,1,650,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6500
280,2,750,0,Super Area,Kolkata,Furnished,Bachelors/Family,1,4500
281,2,450,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
282,1,350,1,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,6500
283,1,480,1,Carpet Area,Kolkata,Furnished,Bachelors,2,17500
284,2,900,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,10000
285,1,200,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,1500
286,3,1100,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,3,25000
287,2,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,12000
288,3,1000,0,Carpet Area,Kolkata,Furnished,Bachelors/Family,2,7500
289,1,800,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
290,1,200,-1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,3500
291,3,1190,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,10000
292,2,900,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,14000
293,2,1500,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,15000
294,2,600,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6500
295,3,800,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,10000
296,2,800,1,Carpet Area,Kolkata,Unfurnished,Family,2,10500
297,3,900,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,10000
298,1,350,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
299,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,9000
300,2,1600,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,20000
301,3,1012,2,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,35000
302,3,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors,2,15000
303,2,700,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,20000
304,2,1000,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,12000
305,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,8000
306,1,500,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,3000
307,3,1200,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors,2,20000
308,1,450,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,9000
309,3,950,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,13000
310,1,350,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
311,1,450,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,9000
312,1,550,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors,1,9000
313,2,300,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,10000
314,3,1250,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,15000
315,2,700,2,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
316,3,812,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,8000
317,2,550,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,8000
318,1,500,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,1,5000
319,1,320,1,Carpet Area,Kolkata,Furnished,Bachelors,1,14000
320,2,600,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,5000
321,2,420,0,Carpet Area,Kolkata,Unfurnished,Bachelors,1,5000
322,3,1100,0,Super Area,Kolkata,Unfurnished,Bachelors,1,12000
323,1,220,3,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,3200
324,2,700,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,8500
325,3,1200,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,16000
326,2,800,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,2,14000
327,1,300,0,Carpet Area,Kolkata,Furnished,Bachelors,1,8000
328,2,650,0,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7000
329,1,600,1,Super Area,Kolkata,Furnished,Bachelors/Family,1,8000
330,1,350,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,3000
331,1,500,1,Carpet Area,Kolkata,Unfurnished,Bachelors,1,3800
332,1,400,1,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,6500
333,3,1750,0,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,3,20000
334,3,1600,3,Super Area,Kolkata,Unfurnished,Bachelors/Family,2,30000
335,1,300,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,1,8000
336,2,1100,1,Super Area,Kolkata,Semi-Furnished,Bachelors/Family,2,14000
337,2,830,0,Super Area,Kolkata,Unfurnished,Bachelors/Family,1,7200
338,2,600,0,Carpet Area,Kolkata,Semi-Furnished,Bachelors/Family,2,7000
339,1,500,1,Super Area,Kolkata,Unfurnished,Bachelors,2,7000
340,2,900,1,Carpet Area,Kolkata,Unfurnished,Bachelors/Family,1,7500
341,2,1250,0,Carpet Area,Kolkata,Unfurnished,Family,2,8500
